,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero
0,tt12389600, 12 Angry Men 1957 en  ,8.9,87.23404255,1957,6759,2574,48.23749518,41.22413052,32.02214452,32.01950574,27.71914954,21.15653577,19.54501195,31.68533975,60.0345041,32.43964983,12.66927131,17.52878899,51.84790639,13.06870399,20.91153406,9.594685824,37.48884644,15.33736534,32.420845,34.70614329,0.040479511,10.18141513
1,tt0047478, 1954  Seven Samurai  ,8.6,80.85106383,1954,3563,1617,68.21088926,42.3593759,19.03030303,39.22497782,34.24411087,17.13429428,44.72417275,38.41642229,18.69752524,71.74257082,22.07706519,21.0042338,70.18169966,16.96248763,47.11994764,23.57381104,40.91260301,16.2763877,23.09489866,30.772156,19.2782905,20.04346871
2,tt12409982, 1984 Once Upon a Time in America Il etait une fois en Amerique ext HD VOSTFREN 8 4  ,8.3,74.46808511,1984,5107,1924,47.11913601,53.78781276,10.8529106,20.11185185,39.76185976,16.88309611,21.65385931,27.45456374,8.730046866,29.25753582,36.73677021,36.93041079,42.38769813,26.78795456,34.08381617,16.46373675,28.87437961,13.67927179,31.28449437,41.00185474,14.08759808,18.45117249
3,tt0062622, 2001 A Space Odyssey 1968 REMASTERED 720p BluRay X264 AMIABLE  ,8.3,74.46808511,1968,2153,800,45.70653099,77.80301615,0,7.639184421,49.54545455,3.582692308,12.77373418,6.866935484,0,14.29530506,28.73205189,20.97529685,18.71010442,28.54716628,51.96806987,6.039959016,18.613742,3.655405405,21.27723629,52.07333403,2.01121792,4.221965284
4,tt1187043, 3 Idiots 2009 Hindi 1080p Blu Ray x264 DD 5 1 MSubs HDSector eng  ,8.3,74.46808511,2009,6748,2981,64.90854456,67.84320541,7.742032875,17.90713972,31.03961453,13.14014399,14.5032463,16.1604138,12.39602227,22.40711149,29.85384147,26.75726884,34.82396702,21.91306116,52.7571719,7.204095886,20.85575155,11.77185236,22.06464522,62.27055377,3.627473048,14.31161637
5,tt0066921, A Clockwork Orange (1971) 1080p H 264 Multi (moviesbyrizzo)  ,8.3,74.46808511,1971,5070,2154,60.28260183,68.20752354,11.73491179,30.19219408,41.21043302,16.85451039,35.76390113,36.4902507,21.83403365,37.07997244,40.34255992,38.4096259,50.00992383,33.09991506,73.2963048,25.92203601,43.64320566,10.18218776,38.12283753,86.79699716,6.235025712,24.51064252
6,tt10751272, A Separation 1080p H 264 FARSI or FRENCH audio multisub (moviesbyrizzo)  ,8.2,72.34042553,2011,4105,1698,57.21563788,54.21441311,29.77267373,37.01745986,47.9772995,11.2530579,24.99888178,17.66974429,19.78399313,35.80126836,29.19354804,23.12630637,45.1419505,29.11478823,38.54089509,18.33883643,44.00331214,16.36106071,14.30899267,51.15304233,1.554538261,0.925957641
7,tt1360860, About Elly 2009 1080p BluRay Remux AVC FLAC2 0 KESH EN 23 976  ,8,68.08510638,2009,3480,1307,46.80092674,60.16657032,5.045141546,15.55368513,32.04701955,5.847801777,24.05741238,23.27911741,10.28101617,15.51699779,31.24259827,31.24791958,37.81225268,21.55710805,41.06835955,11.50174972,29.55621343,16.78074402,12.00461168,45.07656197,3.181832963,7.271113384
8,tt0078748, Alien 1979 REMASTERED THEATRICAL 1080p BluRay x264 DTS SWTYBLZ  ,8.4,76.59574468,1979,2678,927,38.75174197,45.38549039,4.742179072,22.55642598,40.51583799,4.122479462,33.91913482,23.24877336,1.811932057,32.29505664,25.78432017,31.02582906,45.50511677,25.42993357,21.09009219,16.21659858,31.49321934,26.81419283,11.27086318,30.90163933,19.2366184,17.9636322
9,tt0090605, Aliens 1986 Directors Cut 720p BluRay DTS HD x264 BARC0DE  ,8.3,74.46808511,1986,4712,1687,41.99874141,51.03957807,5.211618257,20.88447304,28.3935981,10.76011126,23.76400321,18.53643612,11.94779621,27.75876552,14.07732946,14.64781501,31.80631189,12.63259671,14.70835871,11.45694656,21.20705964,7.80050946,16.19154455,24.78243435,15.27944156,15.67443909
