,tconst,Title,Score,NormalisedScore,Year,wordcount,totalemotion,Emotional Expression,Pos-Neg,Agressiveness,Anger,Anticipation,Awe,Contempt,Disgust,Dissaproval,Fear,Joy,Love,Negative,Optimism,Positive,Remorse,Sadness,Submission,Surprise,Trust,AFINN(-4&-5),Ero,directors
0,tt12389600, 12 Angry Men 1957 en  ,8.9,87.23404255,1957,6759.0,2574.0,48.23749518,41.22413052,32.02214452,32.01950574,27.71914954,21.15653577,19.54501195,31.68533975,60.0345041,32.43964983,12.66927131,17.52878899,51.84790639,13.06870399,20.91153406,9.594685823999999,37.48884644,15.33736534,32.420845,34.70614329,0.040479511,10.18141513,Rob Boor
1,tt12409982, 1984 Once Upon a Time in America Il etait une fois en Amerique ext HD VOSTFREN 8 4  ,8.3,74.46808511,1984,5107.0,1924.0,47.11913601,53.78781276,10.8529106,20.11185185,39.76185976,16.88309611,21.65385931,27.45456374,8.730046866,29.25753582,36.73677021,36.93041079,42.38769813,26.78795456,34.08381617,16.46373675,28.87437961,13.67927179,31.28449437,41.00185474,14.08759808,18.45117249,Rob Boor
2,tt0047478, 1954  Seven Samurai  ,8.6,80.85106383,1954,3563.0,1617.0,68.21088926,42.359375899999996,19.03030303,39.22497782,34.24411087,17.13429428,44.72417275,38.41642229,18.69752524,71.74257082,22.07706519,21.0042338,70.18169966,16.96248763,47.11994764,23.57381104,40.91260301,16.276387699999997,23.09489866,30.772156,19.2782905,20.04346871,Akira Kurosawa
3,tt0044741, Ikiru 1952 720p BluRay x264 SiNNERS  ,8.2,72.34042553,1952,3531.0,1532.0,62.75018527,53.47582169,14.34725849,24.93491924,31.82055542,12.47238401,37.45662161,36.68617872,18.63853609,30.32514955,20.34976979,15.89551052,43.49654544,13.842597,34.89613709,23.12952104,43.96682122,9.54413944,17.39097156,32.93837892,0.84917243,6.78070015,Akira Kurosawa
4,tt0062622, 2001 A Space Odyssey 1968 REMASTERED 720p BluRay X264 AMIABLE  ,8.3,74.46808511,1968,2153.0,800.0,45.70653099,77.80301615,0.0,7.639184421,49.54545455,3.582692308,12.77373418,6.866935484,0.0,14.29530506,28.73205189,20.97529685,18.71010442,28.54716628,51.96806987,6.039959016,18.613742000000002,3.655405405,21.27723629,52.07333403,2.01121792,4.2219652839999995,Stanley Kubrick
5,tt0066921, A Clockwork Orange (1971) 1080p H 264 Multi (moviesbyrizzo)  ,8.3,74.46808511,1971,5070.0,2154.0,60.28260183,68.20752354,11.73491179,30.19219408,41.21043302,16.85451039,35.76390113,36.490250700000004,21.83403365,37.07997244,40.34255992,38.409625899999995,50.00992383,33.09991506,73.2963048,25.92203601,43.64320566,10.18218776,38.12283753,86.79699716,6.2350257120000006,24.51064252,Stanley Kubrick
6,tt0093058, Full Metal Jacket 1987 BRRip 480p x264 AAC VYTO  ,8.3,74.46808511,1987,3680.0,1568.0,60.62045121,57.34226567,4.90625,33.47503302,20.49165121,12.79532967,42.61253552,34.4963792,17.13939813,44.64371674,25.88071974,21.5703915,52.78990435,17.66416411,54.86242607,16.09286132,31.24044871,15.85252344,26.73964366,58.86997361,46.53495045,46.77851994,Stanley Kubrick
7,tt0050825, Paths Of Glory (1957)   English  ,8.4,76.59574468,1957,4704.0,2038.0,62.57970593,82.25980282,13.48135427,31.87205638,27.92934249,15.00113233,17.74263674,15.75865016,18.1317676,52.84697868,17.70064356,21.62947043,36.79734914,16.30912141,84.59835856,12.64499107,32.22469555,14.3489908,17.55006585,95.73111708,0.114972394,4.6179256330000005,Stanley Kubrick
8,tt1187043, 3 Idiots 2009 Hindi 1080p Blu Ray x264 DD 5 1 MSubs HDSector eng  ,8.3,74.46808511,2009,6748.0,2981.0,64.90854456,67.84320541,7.742032875,17.90713972,31.03961453,13.14014399,14.503246300000002,16.1604138,12.39602227,22.40711149,29.85384147,26.75726884,34.82396702,21.91306116,52.7571719,7.204095886,20.85575155,11.77185236,22.06464522,62.27055377,3.627473048,14.31161637,Rajkumar Hirani
9,tt10751272, A Separation 1080p H 264 FARSI or FRENCH audio multisub (moviesbyrizzo)  ,8.2,72.34042553,2011,4105.0,1698.0,57.21563788,54.21441311,29.77267373,37.01745986,47.9772995,11.2530579,24.99888178,17.66974429,19.78399313,35.80126836,29.19354804,23.12630637,45.1419505,29.11478823,38.54089509,18.33883643,44.00331214,16.36106071,14.30899267,51.15304233,1.554538261,0.9259576409999999,Yalan Hu
10,tt1360860, About Elly 2009 1080p BluRay Remux AVC FLAC2 0 KESH EN 23 976  ,8.0,68.08510638,2009,3480.0,1307.0,46.80092674,60.16657032,5.045141546,15.55368513,32.04701955,5.847801777000001,24.05741238,23.27911741,10.28101617,15.51699779,31.24259827,31.24791958,37.81225268,21.55710805,41.06835955,11.50174972,29.55621343,16.78074402,12.00461168,45.07656197,3.181832963,7.2711133839999995,Asghar Farhadi
11,tt0078748, Alien 1979 REMASTERED THEATRICAL 1080p BluRay x264 DTS SWTYBLZ  ,8.4,76.59574468,1979,2678.0,927.0,38.75174197,45.38549039,4.742179072,22.55642598,40.51583799,4.122479462,33.91913482,23.24877336,1.811932057,32.29505664,25.78432017,31.02582906,45.50511677,25.42993357,21.09009219,16.21659858,31.49321934,26.81419283,11.27086318,30.90163933,19.236618399999998,17.9636322,Ridley Scott
12,tt0172495, Gladiator 2000 Extended 1080 BluRay x264 YIFY  ,8.5,78.72340426,2000,3533.0,1563.0,65.08355987,57.85707079,8.437619962000001,28.16487428,34.37329146,14.67001329,20.11710683,17.30336615,13.97030916,54.07958572,38.94638413,36.59053478,47.23174579,24.15688664,48.66082716,12.36587898,40.843186200000005,28.06453286,20.91896491,78.04600747,1.82727472,14.011154699999999,Ridley Scott
13,tt0090605, Aliens 1986 Directors Cut 720p BluRay DTS HD x264 BARC0DE  ,8.3,74.46808511,1986,4712.0,1687.0,41.99874141,51.03957807,5.211618257,20.88447304,28.393598100000002,10.76011126,23.76400321,18.53643612,11.94779621,27.75876552,14.07732946,14.64781501,31.80631189,12.63259671,14.70835871,11.45694656,21.20705964,7.80050946,16.19154455,24.78243435,15.27944156,15.67443909,James Cameron
14,tt0103064, Terminator 2 Judgement Day 1991 THEATRICAL 2160p BluRay x265  ,8.5,78.72340426,1991,2835.0,1076.0,47.88617593,36.61292145,5.106877323,32.44973573,31.46333221,17.75807835,35.79713896,38.88056122,21.8543255,40.48721348,14.60696626,16.52080734,57.87446453,14.48829208,19.40739747,12.47409958,34.03852903,17.66552798,17.40505253,25.35466154,22.63601129,29.48441658,James Cameron
15,tt0120338, Titanic  ,7.8,63.82978723,1997,6085.0,2666.0,63.91433236,62.58188043,9.893473367999999,14.51011068,36.32408102,8.242252871,20.0499492,16.48476635,11.340547,16.16499505,26.81732207,25.39154305,29.22253291,21.02953493,34.77256771,8.65943945,17.77167987,19.74412522,17.8751712,36.99748723,7.6355789320000005,11.91700594,James Cameron
16,tt0499549,Avatar S02E01 DVDRip XviD SWiM  ,7.8,63.82978723,2009,970.7,411.6,60.11659222,70.88306834,5.685694881,19.6494606,33.60721549,11.04759738,16.07923545,17.76489251,12.59511824,37.50402285,30.04506814,33.12559939,31.85002555,21.42904073,55.05120522,11.35515241,23.57180761,7.214370516000001,25.51440068,55.91505241,1.109713947,6.4869799210000005,James Cameron
17,tt0086879, Amadeus (1984) eng  ,8.3,74.46808511,1984,3606.0,1346.0,46.16950429,84.94411702,40.00817236,23.2478448,61.04282048,32.65058864,21.60832847,19.15112879,48.6677412,34.43818220000001,66.48980646,56.30361031,32.40904892,54.13647005,84.32651835,14.35948652,42.43208479,58.66029477,48.85601798,72.90915438,1.468035914,13.42390277,Milos Forman
18,tt0073486, One Flew Over The Cuckoos Nest 1975 720p BluRay H264 AAC RARBG  ,8.6,80.85106383,1975,4896.0,1784.0,43.73794164,49.28638776,17.86491031,28.91270915,28.79739095,5.890824422000001,23.3531532,19.66042239,22.59633655,20.29049519,17.83140926,20.70465259,36.58837496,17.27068209,17.38393715,10.53306256,22.20298558,12.29396437,19.611835,20.86545927,22.70401649,31.06172823,Milos Forman
